hotelname,postalcode,latitude,longitude,review_pos,review_neg,review_text,review-score,overall_score,cleanliness,comfort,location,facilities,staff,value_for_money,Free_Wifi
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Facilities and services,Nothing,Facilities and services Nothing,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Great location and value.,,Great location and value. ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Spacious, good location , design, clean",Construction in the morning very loud,"Spacious, good location , design, clean Construction in the morning very loud",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Great place with a very nice  infinity pool, spotlessly clean, very comfortable bed,  nice and very convenient location - walking distance to main  sites.",,"Great place with a very nice  infinity pool, spotlessly clean, very comfortable bed,  nice and very convenient location - walking distance to main  sites. ",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Bed was very comfortable, room was cozy and clean overall everything about the room was satisfying. It would be good if there is sofa bed or a couch",Nil,"Bed was very comfortable, room was cozy and clean overall everything about the room was satisfying. It would be good if there is sofa bed or a couch Nil",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,Modern clean,Hair dryer not handy,Modern clean Hair dryer not handy,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"the location was pretty good and pretty strategic. but you have to walk around 500m to the nearest mrt stations, but there are plenty bus stations around that you can go to. lots of foods around as well","nothing, everything was pretty good to me. the only that can be alittle bit better probably just the checkout process, as i was checking out . alot of people are checking out as well, but there were only 2 people in the desk so it was quite a wait.","the location was pretty good and pretty strategic. but you have to walk around 500m to the nearest mrt stations, but there are plenty bus stations around that you can go to. lots of foods around as well nothing, everything was pretty good to me. the only that can be alittle bit better probably just the checkout process, as i was checking out . alot of people are checking out as well, but there were only 2 people in the desk so it was quite a wait.",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,New and super nice,,New and super nice ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,It has a slick design. Clean and comfortable room.,,It has a slick design. Clean and comfortable room. ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"everything worked well, great location, good service, workout room/pool etc",,"everything worked well, great location, good service, workout room/pool etc ",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,"Roof top pool was a nice place to chill out with the laid back music which you can also hear while submerged in the pool. Nice touch there. And not forgetting the Atari game console in the Spin & Play room, which was popular with the kids. The gym was good too.",,"Roof top pool was a nice place to chill out with the laid back music which you can also hear while submerged in the pool. Nice touch there. And not forgetting the Atari game console in the Spin & Play room, which was popular with the kids. The gym was good too. ",5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,,, ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,,, ,4,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
"Capri by Fraser China Square, Singapore",058743,1.2899175,103.8519072,,, ,5,['8.7'],9.4,9.4,9.4,9.1,8.9,8.3,8.9
